#,name,city,niche,phone,instagram,facebook,website_status,open_signal,confidence,status,sources,notes
1,NOVA Car Detailing,"Charlotte, NC",auto detailing (mobile),(980) 888-5780,@novacardetailing,facebook.com/novacardetails,social-only,Active 2025 IG post; space-themed mobile detailer,high,new,https://www.instagram.com/novacardetailing/ | https://www.facebook.com/novacardetails/,"Social + YouTube only, no website. Strong fit."
2,Hardy Boys Records & Comics,"Charlotte, NC",specialty retail (records/comics),704-907-2618,@hardyboysrecordsclt,facebook.com/HardyBoysRecords,weak/one-page,Camp North End tenant page + Yelp current; multiple active CLT locations,high,new,https://camp.nc/tenant/hardy-boys-records/ | https://www.instagram.com/hardyboysrecordsclt/,"Only a square.site placeholder. Independent, multi-location, active social."
3,Mudslinger Pottery,"Charlotte, NC",artisan retail (pottery),(704) 819-0828,@mudslingerpottery,facebook.com/mudslingerpotterydac,social-only,Yelp updated May 2026; active Threads/IG; new retail space in Waxhaw,high,new,https://www.facebook.com/mudslingerpotterydac/ | https://www.yelp.com/biz/mudslinger-pottery-charlotte,"Sells via FB/IG/Etsy only, no real website."
4,"D'Luna Aesthetics, Brows & Wellness","Clearwater, FL",esthetician / brows,(727) 644-1680,@dlunabysheila,facebook.com/p/DLuna-Aesthetics-Brows-Wellness-61558035474762,linktree-only,Yelp Updated December 2025; IG post Feb 2025,high,new,https://www.instagram.com/dlunabysheila/ | https://www.yelp.com/biz/d-luna-aesthetics-brows-and-wellness-clearwater-2,"1201 S Highland Ave #7. Owner Sheila. GlossGenius only, no site."
5,Columbus Birria,"Columbus, OH",food truck (birria),(614) 592-2094,@columbus_birria,facebook.com/p/Columbus-Birria-Business-Page-100063725611477,social-only,Yelp Top 100 Food Trucks of 2025 (only Ohio truck); active IG schedule posts,high,new,https://www.instagram.com/columbus_birria/ | https://streetfoodfinder.com/ColumbusBirria,No website; IG + StreetFoodFinder + FB. Strong prospect.
6,Comida El Catrin,"Columbus, OH",food truck (MexiAsian),(614) 425-1454,@el_catrin_614,facebook.com/ColsRave614,social-only,"Yelp updated Feb 2026, 98% recommend; current Friday pop-ups",high,new,https://www.yelp.com/biz/comida-el-catrin-columbus | https://streetfoodfinder.com/ElCatrin614,StreetFoodFinder + social only. Family-owned. Excellent prospect.
7,Kooky's Cookies,"Columbus, OH",dessert food truck,(614) 499-3788,@the_kooky_cookies,facebook.com/thekookycookies,social-only,Yelp updated June 2026; active IG/FB,high,new,https://www.yelp.com/biz/kookys-cookies-food-truck-columbus | https://www.instagram.com/the_kooky_cookies/,Phone confirmed on Yelp. No real own site. Good prospect.
8,Vyvy Nails,"Mesa, AZ",nail salon,(480) 641-3240,,facebook.com/vyvynailss,social-only,Yelp Updated June 2026 (49 reviews); active FB,high,new,https://www.yelp.com/biz/vy-vy-nails-mesa-3 | https://www.facebook.com/vyvynailss/,"3929 E Main St Unit 27. FB + Fresha booking, no website."
9,TRND Setters Barbershop,"Mesa, AZ",barbershop,(480) 219-9902,@trndsettersdobson,,social-only,"Yelp Updated April 2026; IG 1,265 followers; recent reviews",high,new,https://www.instagram.com/trndsettersdobson/ | https://www.yelp.com/biz/trnd-setters-barbershop-mesa,"1653 S Dobson Rd Ste 101. Booksy/Fresha only, no website."
10,Queen City Cobbler,"Mint Hill, NC",shoe/leather repair,(980) 987-1184,@queencitycobbler,facebook.com/p/Queen-City-Cobbler-100064207296953,social-only,Yelp updated June 2026 with recent reviews; owner Vitaly 25+ yrs,high,new,https://www.yelp.com/biz/queen-city-cobbler-mint-hill-2 | https://www.instagram.com/queencitycobbler/,No website; IG + FB only.
11,Coffee Fusion,"Murfreesboro, TN",coffee shop / boba cafe,(615) 900-1515,,facebook.com/thecoffeefusion,social-only,"Yelp Updated April 2026, 4.5 stars/687 reviews; FB 94% recommend",high,new,https://www.facebook.com/thecoffeefusion/ | https://www.yelp.com/biz/coffee-fusion-murfreesboro,"836 N Thompson Ln. No website, FB + reviews only. Strong prospect. Verify IG."
12,Taqueria El Gym,"Nashville, TN",taco/birria food truck,(629) 202-5806,@taqueriaelgym_nashville,facebook.com/taqueriaelgym.nashville,social-only,"Yelp Updated June 2026, 23 reviews; IG ~9,320 followers posting weekly",high,new,https://www.yelp.com/biz/taqueria-el-gym-nashville-3 | https://www.instagram.com/taqueriaelgym_nashville/,"234 Thompson Ln. Big social following, no site. Strong prospect."
13,Birria Babe,"Nashville, TN",birria taco truck,(615) 746-7817,@birriababenash,facebook.com/birriababenash,weak/one-page,"Yelp Updated March 2026, 53 reviews; active IG reels",high,new,https://www.yelp.com/biz/birria-babe-nashville | https://www.instagram.com/birriababenash/,Women-owned (Chef Nadine Moore). Free Wix placeholder — ideal upgrade.
14,Kingston Jamaica Foods,"Nashville, TN",Jamaican food truck,(615) 689-6116,@kingstonfoodtruck2026,,social-only,"Yelp Updated April 2026, 19 reviews; IG handle dated 2026",high,new,https://www.yelp.com/biz/kingston-jamaica-foods-nashville | https://www.instagram.com/kingstonfoodtruck2026/,1916 Dr DB Todd Jr Blvd. No real website. Two IG handles — confirm current one.
15,Caracasville,"Nashville, TN",Venezuelan arepa truck,(615) 668-3581,@caracasville,facebook.com/caracasville,weak/one-page,"Yelp Updated May 2026, 56 reviews; IG bio lists current hours",high,new,https://www.yelp.com/biz/caracasville-nashville-2 | https://www.instagram.com/caracasville/,"Family-owned, Nashville Farmers' Market. Square site placeholder — upgrade target."
